Chr1	1	3000000	19.17
Chr1	300001	3300000	19.73
Chr1	600001	3600000	19.76
Chr1	900001	3900000	20.32
Chr1	1200001	4200000	19.81
Chr1	1500001	4500000	17.59
Chr1	1800001	4800000	18.7
Chr1	2100001	5100000	17.1
Chr1	2400001	5400000	16.53
Chr1	2700001	5700000	16.54
Chr1	3000001	6000000	13.75
Chr1	3300001	6300000	12.71
Chr1	3600001	6600000	13.12
Chr1	3900001	6900000	12.65
Chr1	4200001	7200000	12.45
Chr1	4500001	7500000	13.51
Chr1	4800001	7800000	13.4
Chr1	5100001	8100000	12.25
Chr1	5400001	8400000	10.58
Chr1	5700001	8700000	9.89
Chr1	6000001	9000000	10.33
Chr1	6300001	9300000	10.09
Chr1	6600001	9600000	9.14
Chr1	6900001	9900000	8.1
Chr1	7200001	10200000	8.06
Chr1	7500001	10500000	7.25
Chr1	7800001	10800000	6.87
Chr1	8100001	11100000	7.44
Chr1	8400001	11400000	7.96
Chr1	8700001	11700000	8.35
Chr1	9000001	12000000	7.64
Chr1	9300001	12300000	7.49
Chr1	9600001	12600000	7.55
Chr1	9900001	12900000	7.32
Chr1	10200001	13200000	6.74
Chr1	10500001	13500000	6.16
Chr1	10800001	13800000	6.01
Chr1	11100001	14100000	5.68
Chr1	11400001	14400000	6.42
Chr1	11700001	14700000	5.56
Chr1	12000001	15000000	4.95
Chr1	12300001	15300000	5.13
Chr1	12600001	15600000	4.64
Chr1	12900001	15900000	5.25
Chr1	13200001	16200000	5.31
Chr1	13500001	16500000	5.61
Chr1	13800001	16800000	6.28
Chr1	14100001	17100000	6
Chr1	14400001	17400000	4.96
Chr1	14700001	17700000	4.9
Chr1	15000001	18000000	5.07
Chr1	15300001	18300000	4.69
Chr1	15600001	18600000	5.27
Chr1	15900001	18900000	5.67
Chr1	16200001	19200000	6.43
Chr1	16500001	19500000	7.2
Chr1	16800001	19800000	7.17
Chr1	17100001	20100000	7.69
Chr1	17400001	20400000	7.41
Chr1	17700001	20700000	7.22
Chr1	18000001	21000000	7.6
Chr1	18300001	21300000	8.52
Chr1	18600001	21600000	8.13
Chr1	18900001	21900000	7.58
Chr1	19200001	22200000	6.4
Chr1	19500001	22500000	5.03
Chr1	19800001	22800000	4.65
Chr1	20100001	23100000	4.78
Chr1	20400001	23400000	4.7
Chr1	20700001	23700000	5.16
Chr1	21000001	24000000	5.12
Chr1	21300001	24300000	5.06
Chr1	21600001	24600000	5.22
Chr1	21900001	24900000	4.93
Chr1	22200001	25200000	5.2
Chr1	22500001	25500000	5.5
Chr1	22800001	25800000	5.49
Chr1	23100001	26100000	4.91
Chr1	23400001	26400000	5.45
Chr1	23700001	26700000	5.24
Chr1	24000001	27000000	5.04
Chr1	24300001	27300000	4.42
Chr1	24600001	27519054	4.36
Chr2	1	3000000	2.68
Chr2	300001	3300000	2.46
Chr2	600001	3600000	2.08
Chr2	900001	3900000	2.68
Chr2	1200001	4200000	2.68
Chr2	1500001	4500000	2.79
Chr2	1800001	4800000	2.21
Chr2	2100001	5100000	2.48
Chr2	2400001	5400000	2.8
Chr2	2700001	5700000	2.98
Chr2	3000001	6000000	2.65
Chr2	3300001	6300000	2.38
Chr2	3600001	6600000	4.45
Chr2	3900001	6900000	4.47
Chr2	4200001	7200000	5.53
Chr2	4500001	7500000	6.39
Chr2	4800001	7800000	6.98
Chr2	5100001	8100000	6.95
Chr2	5400001	8400000	7.52
Chr2	5700001	8700000	7.38
